                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8134,                  1.535,                  1.521,                0.93486,                0.92225,                0.96206,                0.36321,                 4.1144,                 1.5242,                 1.6368,              0.0019963,              0.0019963,              0.0019963
                      2,                 2.2339,                 1.2002,                 1.3106,                0.93431,                0.92317,                0.96888,                 0.6651,                 2.1615,                  1.036,                  1.225,              0.0039643,              0.0039643,              0.0039643
                      3,                 2.1507,                 1.1647,                 1.2915,                0.94391,                 0.9335,                0.97688,                0.69371,                 2.1824,                0.95303,                 1.2209,              0.0059003,              0.0059003,              0.0059003
                      4,                 2.1204,                 1.1506,                 1.2836,                0.94636,                0.92639,                0.97739,                0.73447,                 1.8579,                0.91273,                 1.1826,              0.0078044,              0.0078044,              0.0078044
                      5,                 2.0907,                 1.1331,                 1.2775,                0.94177,                0.92849,                0.97356,                0.64212,                  2.382,                 1.0161,                 1.2464,              0.0096764,              0.0096764,              0.0096764
                      6,                 2.0691,                 1.1252,                 1.2698,                0.94409,                0.94088,                0.97996,                0.69369,                 2.0814,                0.88834,                 1.2039,                 0.0096,                 0.0096,                 0.0096
                      7,                 2.0159,                 1.0974,                 1.2599,                0.94248,                0.94164,                0.98025,                 0.7444,                  1.797,                0.83031,                 1.1736,                0.00952,                0.00952,                0.00952
                      8,                 1.9922,                 1.0829,                 1.2556,                0.94851,                0.93714,                0.98054,                0.74531,                 1.8193,                0.83648,                 1.1748,                0.00944,                0.00944,                0.00944
                      9,                 1.9554,                 1.0622,                 1.2466,                0.94468,                0.93582,                0.97745,                0.74417,                 1.7763,                0.84762,                 1.1711,                0.00936,                0.00936,                0.00936
                     10,                 1.9382,                  1.051,                 1.2429,                0.94385,                 0.9411,                0.97937,                0.72413,                 1.9276,                0.85663,                  1.185,                0.00928,                0.00928,                0.00928
                     11,                 1.9201,                 1.0387,                  1.236,                0.94997,                0.93784,                0.98148,                0.71172,                 1.9568,                0.84506,                 1.1775,                 0.0092,                 0.0092,                 0.0092
                     12,                  1.896,                 1.0248,                 1.2335,                0.95119,                0.94248,                0.98301,                0.69971,                 2.0452,                0.85297,                 1.1942,                0.00912,                0.00912,                0.00912
                     13,                 1.8856,                 1.0136,                 1.2293,                0.95153,                  0.943,                0.98231,                0.69141,                 2.0869,                0.85676,                 1.1925,                0.00904,                0.00904,                0.00904
                     14,                 1.8609,                0.99746,                 1.2261,                0.95107,                0.94544,                0.98391,                0.73033,                 1.8816,                0.80718,                 1.1713,                0.00896,                0.00896,                0.00896
                     15,                 1.8526,                0.98816,                 1.2221,                0.95314,                0.94498,                0.98448,                0.73323,                 1.8933,                0.80152,                 1.1707,                0.00888,                0.00888,                0.00888
                     16,                 1.8317,                0.97477,                 1.2188,                0.95567,                0.94518,                0.98493,                 0.7318,                 1.8484,                0.78454,                 1.1638,                 0.0088,                 0.0088,                 0.0088
                     17,                 1.8404,                0.98068,                 1.2212,                0.95116,                0.94525,                0.98371,                0.73836,                 1.8793,                0.80408,                  1.168,                0.00872,                0.00872,                0.00872
                     18,                 1.8225,                0.96761,                 1.2181,                0.95621,                0.94452,                0.98457,                0.77422,                 1.6846,                0.75387,                 1.1507,                0.00864,                0.00864,                0.00864
                     19,                 1.8217,                0.97073,                 1.2155,                 0.9518,                0.94665,                 0.9845,                0.76604,                 1.7152,                0.77041,                 1.1537,                0.00856,                0.00856,                0.00856
                     20,                 1.8054,                0.95674,                 1.2131,                0.95487,                0.94736,                0.98544,                0.77169,                 1.6979,                0.75733,                 1.1496,                0.00848,                0.00848,                0.00848
                     21,                 1.7956,                0.95041,                 1.2108,                0.95422,                0.94707,                0.98551,                0.75512,                 1.7434,                0.76035,                 1.1543,                 0.0084,                 0.0084,                 0.0084
                     22,                 1.7813,                0.93777,                 1.2091,                0.95322,                0.94727,                 0.9846,                0.75635,                 1.7667,                0.77037,                 1.1595,                0.00832,                0.00832,                0.00832
                     23,                 1.7745,                0.93483,                 1.2086,                0.95762,                0.94785,                0.98589,                0.74532,                 1.8272,                0.77418,                 1.1669,                0.00824,                0.00824,                0.00824
                     24,                 1.7699,                0.92862,                 1.2059,                0.95374,                0.94662,                0.98551,                0.76785,                 1.6918,                0.74405,                 1.1503,                0.00816,                0.00816,                0.00816
                     25,                 1.7607,                0.92379,                 1.2042,                 0.9554,                0.94925,                0.98608,                0.76266,                 1.7178,                0.75058,                 1.1503,                0.00808,                0.00808,                0.00808
                     26,                  1.745,                0.91783,                 1.2005,                0.95561,                0.94848,                0.98608,                  0.761,                 1.7679,                0.75966,                 1.1565,                  0.008,                  0.008,                  0.008
                     27,                 1.7481,                0.91452,                 1.2013,                0.95212,                0.94822,                0.98528,                0.76691,                 1.6985,                0.75958,                 1.1481,                0.00792,                0.00792,                0.00792
                     28,                  1.751,                0.91813,                 1.1998,                0.95556,                0.95007,                0.98609,                0.76486,                 1.7091,                0.74843,                 1.1489,                0.00784,                0.00784,                0.00784
                     29,                 1.7332,                0.90442,                 1.1974,                0.95638,                0.94846,                0.98635,                0.78137,                 1.6175,                0.72035,                 1.1391,                0.00776,                0.00776,                0.00776
                     30,                 1.7387,                0.90968,                 1.1975,                0.95851,                0.94931,                0.98646,                0.75214,                  1.754,                0.75227,                 1.1518,                0.00768,                0.00768,                0.00768
                     31,                 1.7306,                0.90408,                 1.1967,                0.95933,                0.94605,                0.98654,                0.76964,                  1.706,                0.73745,                  1.148,                 0.0076,                 0.0076,                 0.0076
                     32,                 1.7164,                0.89358,                 1.1942,                 0.9566,                0.94966,                0.98642,                0.75287,                 1.7777,                 0.7518,                 1.1536,                0.00752,                0.00752,                0.00752
                     33,                  1.726,                0.89984,                 1.1975,                0.95643,                0.95065,                0.98681,                0.77068,                 1.6949,                0.73211,                 1.1475,                0.00744,                0.00744,                0.00744
                     34,                 1.7073,                0.88796,                 1.1925,                0.95897,                 0.9469,                0.98626,                0.76346,                 1.7247,                0.73825,                 1.1478,                0.00736,                0.00736,                0.00736
                     35,                 1.6968,                0.88016,                 1.1909,                0.95804,                0.94934,                0.98666,                  0.786,                 1.6093,                0.71092,                 1.1385,                0.00728,                0.00728,                0.00728
                     36,                 1.7027,                0.88297,                 1.1915,                  0.958,                0.94852,                0.98626,                0.77385,                 1.6867,                0.72829,                 1.1458,                 0.0072,                 0.0072,                 0.0072
                     37,                 1.6904,                 0.8774,                 1.1902,                0.95791,                0.95035,                0.98645,                0.76869,                 1.6825,                0.72079,                 1.1438,                0.00712,                0.00712,                0.00712
                     38,                 1.6877,                0.87425,                 1.1866,                0.95907,                0.95046,                0.98692,                0.77127,                 1.6952,                0.72347,                 1.1474,                0.00704,                0.00704,                0.00704
                     39,                 1.6941,                   0.88,                 1.1896,                0.95916,                0.95237,                0.98767,                0.75478,                 1.7674,                0.73504,                 1.1524,                0.00696,                0.00696,                0.00696
                     40,                 1.6794,                0.86934,                 1.1869,                0.95743,                0.95188,                0.98703,                   0.77,                  1.662,                0.72087,                 1.1423,                0.00688,                0.00688,                0.00688
                     41,                 1.6841,                0.87224,                 1.1894,                0.95984,                0.94983,                0.98709,                0.77889,                 1.6414,                0.71043,                 1.1408,                 0.0068,                 0.0068,                 0.0068
                     42,                   1.69,                0.87318,                  1.187,                0.95961,                0.95159,                0.98768,                0.78278,                 1.6211,                0.70623,                 1.1375,                0.00672,                0.00672,                0.00672
                     43,                 1.6797,                0.86978,                 1.1869,                 0.9599,                0.95124,                0.98763,                0.77423,                 1.6756,                0.71386,                 1.1426,                0.00664,                0.00664,                0.00664
                     44,                 1.6696,                0.86264,                 1.1856,                0.96099,                0.94993,                0.98747,                0.79217,                 1.5782,                0.69381,                 1.1336,                0.00656,                0.00656,                0.00656
                     45,                 1.6646,                0.86157,                 1.1852,                0.95967,                0.95055,                0.98715,                0.78526,                 1.5998,                0.69871,                 1.1354,                0.00648,                0.00648,                0.00648
                     46,                 1.6676,                0.86254,                 1.1847,                0.95802,                0.95176,                0.98737,                0.78486,                 1.6122,                0.70086,                 1.1366,                 0.0064,                 0.0064,                 0.0064
                     47,                 1.6656,                0.86048,                  1.183,                0.96105,                0.95114,                0.98778,                0.78154,                 1.6282,                0.69902,                 1.1369,                0.00632,                0.00632,                0.00632
                     48,                 1.6474,                0.85158,                 1.1827,                0.95757,                0.95287,                0.98717,                0.78691,                 1.5912,                0.69588,                 1.1351,                0.00624,                0.00624,                0.00624
